test_name
% Phosphatidylglycerol
"17-Hydroxycorticosteroids, Urine"
"Allergen, Cochineal Extract (Dactylopius coccus) IgE"
"Allergen, Cocklebur IgE"
"Allergen, Cockroach"
"Allergen, Cocoa IgE"
"Allergen, Coconut IgE"
"Allergen, Codfish IgE"
"Allergen, Coffee IgE"
"Allergen, Common Ragweed IgE"
"Allergen, Corn IgE"
"Allergen, Cottonwood (IgE)"
"Allergen, Crab IgE"
"Allergen, Cucumber IgE"
"Allergen, Curvularia lunata IgE"
"Allergen, Dandelion IgE"
"Allergen, Dermatophagoides farinae IgE (dust mite)"
"Allergen, Dermatophagoides pteronyssinus IgE"
"Allergen, Dog Dander IgE"
"Allergen, Egg White IgE"
"Allergen, Egg Yolk and White IgE"
"Allergen, English Plantain IgE"
"Allergen, Epicoccum purpurascens IgE"
"Allergen, Epidermals and Animal Proteins, Rat Epithelium IgE"
"Allergen, Firebush IgE"
"Allergen, Food, Nutmeg IgE"
"Allergen, Fungi and Molds, Mucor racemosus IgE"
"Allergen, Fungi and Molds, Penicillium notatum IgE"
"Allergen, Fusarium moniliforme IgE"
"Allergen, Garlic IgE"
"Allergen, Giant Ragweed (Tall) IgE"
"Allergen, Ginger IgE"
"Allergen, Gluten IgE"
"Allergen, Goldenrod IgE"
"Allergen, Goose Feathers IgE"
"Allergen, Grape IgE"
"Allergen, Green Bean IgE"
"Allergen, Guinea Pig Epithelia IgE"
"Allergen, Haddock"
"Allergen, Hamster Epithelia IgE"
"Allergen, Hazel Nut Tree IgE"
"Allergen, Hazelnut Component Panel"
"Allergen, Hazelnut IgE"
"Allergen, Hickory/Pecan Tree IgE"
"Allergen, Honey Bee IgE"
"Allergen, Horse Dander IgE"
"Allergen, House Dust Greer IgE (HIL4)"
"Allergen, Insect Venom Panel IgG"
"Allergen, Johnson Grass IgE"
"Allergen, June Grass/Kentucky Blue Grass IgE"
"Allergen, Kiwi Fruit, IgE"
"Allergen, Lambs Quarter IgE"
"Allergen, Latex IgE"
"Allergen, Lemon IgE"
"Allergen, Lima Bean IgE"
"Allergen, Lime IgE"
"Allergen, Lobster IgE"
"Allergen, Macadamia Nut IgE"
"Allergen, Mackerel IgE"
"Allergen, Mango Fruit IgE"
"Allergen, Maple Tree IgE"
"Allergen, Meadow Fescue IgE"
"Allergen, Melons IgE"
"Allergen, Milk IgE"
"Allergen, Mosquito IgE"
"Allergen, Mountain Cedar IgE"
"Allergen, Mouse Epithelia IgE"
"Allergen, Mugwort IgE"
"Allergen, Mushroom IgE"
"Allergen, Mustard IgE"
"Allergen, Nettle IgE"
"Allergen, Oak IgE"
"Allergen, Oat IgE"
"Allergen, Onion IgE"
"Allergen, Orange IgE"
"Allergen, Orchard Grass (Cocksfoot) IgE"
"Allergen, Ovomucoid IgE"
"Allergen, Oyster IgE"
"Allergen, Paper Wasp IgE"
"Allergen, Paprika/Sweet Pepper IgE"
"Allergen, Pea IgE"
"Allergen, Peach IgE"
"Allergen, Peanut Component Panel"
"Allergen, Peanut IgE"
"Allergen, Pear IgE"
"Allergen, Pecan Nut IgE"
"Allergen, Penicilloyl G IgE"
"Allergen, Penicilloyl V IgE"
"Allergen, Perennial Rye Grass IgE"
"Allergen, Phoma betae IgE"
"Allergen, Pigweed IgE"
"Allergen, Pine Nut IgE"
"Allergen, Pineapple IgE"
"Allergen, Pistachio IgE"
"Allergen, Poppy Seed IgE"
"Allergen, Pork IgE"
"Allergen, Potato IgE"
"Allergen, Rabbit Epithelia IgE"
"Allergen, Rape Seed IgE"
"Allergen, Raspberry IgE"
"Allergen, Rat Epithelia IgE"
"Allergen, Red Cedar IgE"
"Allergen, Red Oak IgE (Q. rubra)"
"Allergen, Red Top Grass IgE"
"Allergen, Rhizopus nigricans IgE"
"Allergen, Rice IgE"
"Allergen, Rough Marsh Elder IgE"
"Allergen, Rye IgE"
"Allergen, Salmon IgE"
"Allergen, Scallop IgE"
"Allergen, Sesame Seed IgE"
"Allergen, Sheep Sorrell IgE"
"Allergen, Shrimp IgE"
"Allergen, Soybean IgE"
"Allergen, Squid IgE"
"Allergen, Stemphylium botryosum IgE"
"Allergen, Strawberry IgE"
"Allergen, Sunflower Seed IgE"
"Allergen, Sweet Vernal Grass IgE"
"Allergen, Sycamore IgE"
"Allergen, Tilapia IgE"
"Allergen, Timothy Grass IgE"
"Allergen, Tomato IgE"
"Allergen, Tree, Elm IgE"
"Allergen, Tuna IgE"
"Allergen, Turkey Meat IgE"
"Allergen, Walnut Component Panel"
"Allergen, Walnut IgE"
"Allergen, Walnut Tree IgE"
"Allergen, Watermelon IgE"
"Allergen, Wheat IgE"
"Allergen, Whey IgE"
"Allergen, White Ash Tree IgE"
"Allergen, White Mulberry IgE"
"Allergen, White Pine IgE"
"Allergen, White-Faced Hornet IgE"
"Allergen, Whitefish IgE"
"Allergen, Willow IgE"
"Allergen, Wormwood IgE"
"Allergen, Yellow Dock Weed IgE"
"Allergen, Yellow Hornet IgE"
"Allergen, Yellow Jacket IgE"
"Allergen,Aureobasidium pullulans IgE"
Alpha Fetoprotein - Tumor Marker
Alpha Subunit
Alpha-1-Antitrypsin
Alpha-1-Antitrypsin (AAT) Quantitation and Phenotype
"Alpha-1-Antitrypsin, Quantitative by ELISA, Random Stool"
Alpha-Tocopherol
Alprazolam
ALT
Amebiasis histolytica Antibody
"Amikacin, Peak"
"Amikacin, Random"
"Amikacin, Trough"
"Amino Acid Analysis, Plasma"
"Amino Acids Quantitative, Urine"
Amiodarone
Amitriptyline
Ammonia
"Amphetamines Screen, Urine"
"Amphetamines, Quantitative, LC/MS/MS, Serum"
Amylase
Amylase Isoenzymes
"Amylase, Fluid"
"Amylase, Urine"
ANA
ANA (antinuclear antibody) Screen
ANA (antinuclear antibody) w/Reflex
Anaerobic Culture
Anaerobic Tissue/Bone Culture
"Anaplasma phagocytophilum Antibodies (IgG, IgM)"
"Anaplasma phagocytophilum DNA, Qualitative Real-Time PCR"
"ANCA Screen with MPO and PR3, with Reflex to ANCA Titer"
ANCA Screen with Reflex to ANCA Titer
Androstanediol Glucuronide Quantitative Serum or Plasma
Androstenedione
Angiotensin Converting Enzyme
"Angiotensin Converting Enzyme (ACE), CSF"
"Anti-Cardiolipin Antibody, IgA"
"Anti-Cardiolipin Antibody, IgG"
"Anti-Cardiolipin Antibody, IgM"
"Anti-Diuretic Hormone, Plasma"
Anti-DNA (ds) Antibody
Anti-DNase-B Antibody
Anti-Factor Xa (for Low Molecular Weight Heparin)
Anti-Factor Xa for Unfractionated Heparin
"Anti-GBM Antibody, IgG (ELISA)"
"Anti-Glomerular Basement Membrane Antibody, IgG (ELISA)"
"Anti-Islet Cell Antibody, IgG"
"Anti-Jo Antibody, IgG"
Anti-La (SSB) Antibody
Anti-Microsomal Antibody
"Anti-Mullerian Hormone (AMH), Female"
"Anti-Mullerian Hormone (AMH), Male"
Anti-Nuclear Antibody Screen
"Anti-Parietal Cell Antibody, IgG"
Anti-Phospholipid Antibodies
"Anti-Phospholipid Antibody, IgG"
"Anti-Phospholipid Antibody, IgM"
Anti-Platelet Direct Antibody
"Anti-RNP Antibody, IgG"
Anti-Ro (SSA) Antibody
Anti-Scleroderma (Scl-70) (ENA) Antibody
"Anti-Smith (ENA) Antibody, IgG"
Anti-SSA (Ro) (ENA) Antibody
Anti-SSB (La) (ENA) Antibody
Anti-Streptolysin O
"Anti-Striated Muscle Antibody, IgG"
Anti-Thyroglobulin Antibody
Anti-Thyroid Antibodies
Anti-TPO
Antibody Screen
Antibody Titer
Antimicrobial Susceptibility
Antithrombin III Activity
Antithrombin III Antigen
APC (activated protein C) Resistant Factor V Leiden
Apolipoprotein A1
Apolipoprotein B
APTT
"Aquaporin-4 (AQP4) Antibody (NMO-IgG), ELISA"
Arginine Vasopressin Hormone (Copeptin)
"Arsenic, Blood"
"Arsenic, Fractionated, Urine"
Ascorbic Acid
ASO
"Aspergillus Antibody Panel, CF and ID, Serum"
"Aspergillus Antigen, EIA, Serum"
Aspirin Resistance Test
AST
Ativan®
Autoclave Spore
Aventyl® by HPLC
"AVH, Plasma"
B-Type Natriuretic Peptide (BNP)
"Babesia microti Antibodies (IgG, IgM), IFA"
"Babesia microti DNA, Real-Time PCR"
Bacterial and Yeast ID
Bacterial Identification
Bacterial Vaginosis (BV)
"Barbiturates Screen, Urine"
"Barbiturates, Serum or Plasma, Quantitative"
"Bartonella henselae Antibodies (IgG, IgM) with Reflex to Titers"
Basic Metabolic Panel
Bence Jones Screen
"Benzodiazepine Screen, Urine"
"Benzodiazepine, Confirmation, Urine"
"Benzodiazepines, Serum"
"Beta Hemolytic Strep Culture, Group B"
Beta-2 Glycoprotein 1 Antibody IgA
"Beta-2 Glycoprotein 1 Antibody IgA, IgG and IgM"
Beta-2 Glycoprotein 1 Antibody IgG
Beta-2 Glycoprotein 1 Antibody IgM
Beta-2 Glyoprotein 1 Antibodies IgG/IgM
"Beta-2 Transferrin, Body Fluid"
"Beta-2-Microglobulin, Serum or Plasma"
Beta-Hydroxybutyric Acid
"Bile Acids, Fractionated and Total"
Bile Stone
Bilirubin Panel
"Bilirubin, Conjugated"
"Bilirubin, Fluid"
"Bilirubin, Total"
Biotin (Vitamin B7)
"BK Virus DNA, Quantitative, Real-Time PCR, Plasma"
"BK Virus DNA, Quantitative, Real-Time PCR, Urine"
"Blastomyces Antibody Panel, CF and ID"
"Blastomyces Antibody, Immunodiffusion"
"Blood Culture, Aerobic"
"Blood Culture, Aerobic/Anaerobic"
"Blood Culture, Fungal"
"Blood Culture, Neonatal/Pediatric"
"Blood Gas, Arterial"
"Blood Gas, Capillary"
"Blood Gas, Cord Blood"
"Blood Gas, Umbilical Artery"
"Blood Gas, Umbilical Vein"
"Blood Gas, Venous"
Blood Parasite Screen
Blood Type
"Blood Type, Neonatal"
Bone Marrow Culture
"Bone Marrow, Comprehensive"
"Bone Marrow, Routine"
Bordetella pertussis PCR
"Borrelia burgdorferi Antibodies, Immunoblot"
"Borrelia burgdorferi,  IgG and IgM Antibody Test"
"Borrelia miyamotoi Antibodies (IgG, IgM), Immunoassay"
"Borrelia Species DNA, Qualitative Real-Time PCR, Miscellaneous"
"Borrelia species DNA, Qualitative Real-Time, PCR, Tick"
Bronchial Lavage Cell Count
"Brucella Anitbody, Agglutination"
Brucella Antibody (Total) by Agglutination
Buckwheat
"Buprenophine, Quantative, Urine"
"Buprenorphine and Metabolites, LC/MS/MS, Serum"
"Buprenorphine, Urine (Screen Only)"
"Buprenorphine, Urine (Screen with reflex to confirmation)"
C-Peptide
C-Reactive Protein (Inflammation)
"C-Reactive Protein, High Sensitivity (Cardiac Risk Assessment)"
"C1 Esterase Inhibitor, Functional"
"C1 Esterase Inhibitor, Protein"
C2
C3
C4
CA (cancer antigen) 125
CA 15-3
CA 19-9
CA 27.29
"Caffeine, Serum or Plasma"
Calciferol
Calcitonin
"Calcitriol 1,25-Dihydroxyvitamin D"
Calcium
"Calcium, 24 hour Urine"
"Calcium, Fluid"
"Calcium, Ionized"
"Calcium, Random Urine"
"Calcium/Creatinine Ratio, Urine"
Calculated LDL
Calculi Analysis
"Calprotectin, Fecal"
"Campylobacter, Stool"
"Cancer Antigen 125, Serum"
Cancer Antigen 27.29
Candidiasis by DNA Probe
"Cannabinoids Panel, Serum/Plasma"
"Cannabinoids Screen, Urine"
Carbamazepine
"Carbamazepine and Metabolite, Total"
Carboxyhemoglobin
"Carcinoembryonic Antigen (CEA), Fluid"
Cardiac Risk Panel
Cardiolipin IgA Autoantibodies
Cardiolipin IgG Autoantibodies
"Cardiolipin IgG, IgM and IgA Autoantibodies"
Cardiolipin IgM Autoantibodies
Carnitine
Carotene
"Cat Scratch Fever Antibodies, IgG & IgM"
"Catecholamines, Fractionated, 24-Hour Urine with Creatinine"
"Catecholamines, Fractionated, Plasma"
"Catecholamines, Fractionated, Random Urine"
Catheter Tip Culture
CBC
CEA
Celiac Disease Profile
"Cell Count, CSF"
"Cell Count, Miscellaneous Fluid"
"Cell Count, Pericardial Fluid"
"Cell Count, Peritoneal Fluid"
"Cell Count, Pleural Fluid"
"Cell Count, Synovial Fluid"
Centromere B Antibody IgG
Ceruloplasmin
CH100
"Chlamydia Antibody Panel, IgG by IFA"
"Chlamydia Antibody Panel, IgM by IFA"
"Chlamydia, Nucleic Acid Amplified Test (NAAT)"
"Chlamydia/Chlamydophila Antibody Panel 3 (IgG, IgA, IgM)"
Chlamydia/GC (Gonococcus) Amplified Test (NAAT)
"Chlamydia/N. Gonorrhoeae and T. Vaginalis RNA, Qualtitative, TMA"
Chlamydiae Species Culture
Chloride
"Chloride, 24 hour Urine"
"Chloride, Fluid"
"Chloride, Random Urine"
Cholesterol
"Cholesterol, Fluid"
Cholesterol/HDL Panel
Chromatin IgG Antibodies
"Chromium, Serum"
"Chromogranin A, LC/MS/MS"
Chromosome Analysis - Amniotic Fluid
Chromosome Analysis - Blood
Chromosome Analysis - Bone Marrow
Chromosome Analysis - Tissue
Chromosome Analysis - Unstimulated Blood
"Chymotrypsin, Stool"
"Circulating Immune Complex, C1q Binding"
"Citric Acid, Urine"
CK
"Clobazam and Metabolite, Serum/Plasma"
Clomipramine
Clonazepam
Clopidogrel
Clostridoides difficile Toxin B by PCR
Clozapine
"CMV (Cytomegalovirus), IgG Antibodies"
"CMV (Cytomegalovirus), IgM Antibodies"
CO2
Cobalt
"Cocaine and Metabolites, Confirmation, Serum, Plasma, or Blood"
"Cocaine Screen, Urine"
"Coccidioides Antibodies (IgG, IgM), Immunodiffusion"
Coenzyme Q10
Cold Agglutinins
"Collagen Cross-Linked N-Telopeptide (NTx), 24-Hour Urine"
"Collagen Cross-Linked N-Telopeptide (NTx), Urine"
Collagen Type C-Telopeptide (CTx)
Complement C3
Complement C4
Complement Component 2 (C2)
Complement Component C1q
"Complement, Total (CH50)"
Complete Blood Count (CBC)
Complete Blood Count (CBC) with Differential
"Comprehensive Drug Screen, Umbilical Cord Tissue"
Comprehensive Metabolic Panel
Coombs Test
Copper
"Copper, 24-Hour Urine"
"Copper, Liver Tissue"
"Copper, Random Urine"
Cord Blood Workup
Cortisol
"Cortisol, Free, 24-Hour Urine with Creatinine, LC/MS/MS"
"Cortisol, Free, LC/MS/MS, Second Void Urine"
"Cortisol, LC/MS, Saliva"
"Cortisol, LC/MS, Saliva, 2 Samples"
"Cortisol, LC/MS, Saliva, 3 Samples"
"Cortisol, LC/MS, Saliva, 4 Samples"
"Cortisol, Random"
"Cortisol, Timed Studies"
COVID-19 Molecular
"COVID-19, Flu A, Flu B, and RSV by PCR"
"COVID/FLU AB AMPLIFI (SARS-CoV-2, Flu A, Flu B by RT-TMA) - See test COVID"
"COVID/FLU AB AMPLIFI (SARS-CoV-2, Flu A, Flu B by RT-TMA) - See test FLXRSV"
"Coxsackie A Antibodies, Serum"
Coxsackie B (1-6) Virus Antibodies
Creatine Kinase
Creatine Kinase Isoenzymes
Creatine Kinase Isoenzymes (CK Isoenzymes) with Total CK
Creatinine Clearance
"Creatinine, 24 Hour Urine"
"Creatinine, Fluid"
"Creatinine, Random Urine"
"Creatinine, Serum"
Cross-Linked N-Telopeptide
Cryoglobulins
Cryptococcus Antigen
Cryptosporidium & Giardia Antigen by EIA
"Cryptosporidium Antigen, EIA"
"Crystal, Synovial Fluid"
CSF (cerebrospinal fluid) Culture
"Culture, Fluid"
Cyclic Citrullinated Peptide (CCP) Antibody (IgG)
"Cyclic Citrullinated Peptide Antibody, IgG and IgA"
Cyclosporine A
"Cystatin C with Glomerular Filtration Rate, Estimated (eGFR)"
Cystic Fibrosis Gene Mutation
"Cytomegalovirus Antibodies (IgG, IgM)"
Cytomegalovirus Antibody (IgG)
Cytomegalovirus Antibody (IgM)
"Cytomegalovirus Antibody, IgM"
"Cytomegalovirus by Quantitative NAAT, Plasma"
"Cytomegalovirus DNA by PCR, Qualitative"
"Cytomegalovirus DNA, Qualitative Real-Time PCR, Saliva"
"Cytomegalovirus DNA, Qualitative, Real-Time PCR"
"Cytomegalovirus DNA, Quantitative, Real-Time PCR"
"D-Dimer, Sensitive"
Dehydroepiandrosterone-Sulfate
"Delta Aminolevulinic Acid, 24-Hour Urine"
"Delta Aminolevulinic Avid, Random Urine"
"Delta-Aminolevulinic Acid (ALA), Urine"
"Dengue Fever Antibodies (IgG, IgM)"
"Deoxypyridinoline Crosslinks, Urine"
Depakene®
Desipramine
Desipramine & Imipramine
Dexamethasone
"DHEA Sulfate, Serum"
"DHEA, (Dehydroepiandrosterone), Unconjugated"
"DHEA, Serum"
DHEA-S
Diazepam & Nordiazepam
Digoxin
Dihydrotestosterone
Dilantin
Dilute Russell Viper Venom Time (dRVVT)
"Diphtheria Antitoxoid, Endpoint Determination"
Direct Antiglobulin Test
Direct Antiglobulin Test and Antibody Screen
Direct Coombs
Direct LDL (low-density lipoprotein)
DNA ds (Double Stranded) Antibody
DNase-B Antibody
Dolophine®
"Drug Abuse Panel 8, with Confirmation, Serum or Plasma"
"Drug Monitoring, Alcohol Metabolite, Quantitative, Urine"
"Drug Monitoring, Amphetamines, Quantitative, Urine"
"Drug Monitoring, Barbiturates, Quantitative, Urine"
"Drug Monitoring, Benzodiazepines, Quantitative, Urine"
"Drug Monitoring, Cocaine Metabolite, Quantitative, Urine"
"Drug Monitoring, Fentanyl, Quantitative, Urine"
"Drug Monitoring, Methylphenidate Metabolite, Quantitative, Urine"
"Drug Monitoring, Opiates Expanded, Quantitative, Urine"
"Drug Monitoring, Panel 5, Screen, Urine"
"Drug Monitoring, Phencyclidine, Quantitative, Urine"
"Drug Monitoring, Pregabalin, Quantitative, Urine"
"Drug Monitoring, Tramadol, Quantitative, Urine"
"Drug Monitoring, Zolpidem, Quantitative, Urine"
"Drug Screen Panel 9, Meconium"
"Drugs of Abuse, Urine (Screen Only)"
"Drugs of Abuse, Urine (Screen with Confirmation)"
"ds DNA Antibody, IgG"
"E. histolytica Antibody, IgG"
Ear Culture
EBV Antibody Panel I
"EBV Antibody to Early D Antigen (EA-D), IgG"
"EBV Antibody to Nuclear Antigen, IgG"
"EBV Antibody to Viral Capsid Antigen, IgG"
"EBV Antibody to Viral Capsid Antigen, IgM"
Echovirus Antibodies
"Ehrlichia chaffeensis (IgG, IgM)"
"Ehrlichia chaffeensis DNA, Real-Time PCR"
"Elastase-1, Fecal"
Elavil® (Amitriptyline & Nortriptyline)
"Electrolytes, Random Urine"
"Electrolytes, Serum"
ENA (Extractable Nuclear Antigens)
"Endomysial Antibody, IgA"
"Entamoeba histolytica (amebiasis), Antibody, IgG"
Enteric Pathogen Culture
Enteric Pathogens By PCR
Enteropathogenic E. coli
"Enterovirus RNA, Qualitative, Real-Time PCR"
Eosinophil Count
"Eosinophils, Smear for"
"Epinephrine, Plasma"
"Epinephrine, Urine"
"Epstein Barr Virus DNA, Qualitative, Real-Time PCR"
"Epstein-Barr Virus DNA, Quantitative, Real-Time PCR"
"Epstein-Barr Virus Early Antigen (EA),  IgG Antibodies"
"Epstein-Barr Virus Nuclear Antigen (EBNA),  IgG Antibodies"
"Epstein-Barr Virus Viral Capsid Antigen (VCA),  IgG Antibodies"
"Epstein-Barr Virus Viral Capsid Antigen (VCA), IgM Antibodies"
"Epstein-Barr Virus,  Evaluation"
"Erythrocyte Porphyrin (EP), Whole Blood"
Erythrocyte Sedimentation Rate
Erythropoietin
ESR
Estradiol
Estriol. Serum
"Estrogens, Fractioned, LC/MS"
Estrone
Ethanol
Ethosuximinde
"Ethyl Glucuronide and Ethyl Sulfate Confirmation, Urine"
"Ethyl Glucuronide Screen with Reflex to Confirmation, Urine"
Ethylene Glycol
Ethylene Glycol and/or Methanol
"Everolimus, Blood"
Extended Myositis Specific Antibody (MSA)
Extractable Nuclear Antigens (ENA)
Eye Culture
"Factor II, Activity"
"Factor II, Mutation"
Factor IX Bethesda Assay
"Factor IX, Activity"
"Factor IX, Inhibitor"
"Factor V Leiden, Gene Mutation"
"Factor V Leiden, Resistance - Activated Protein C (APC)"
"Factor V, Activity"
"Factor VII, Activity"
"Factor VIII, Activity"
"Factor VIII, Bethesda Assay"
"Factor VIII, Inhibitor"
"Factor X, Activity"
Factor Xa - Low Molecular Weight Heparin
"Factor XI, Activity"
"Factor XII, Activity"
Factor XIII - Clot Solubility Test
"Fecal Fat, Qualitative"
"Fecal Fat, Quantitative, 24 Hour"
"Fecal Fat, Quantitative, 48 Hours"
"Fecal Fat, Total, Quantitative"
Fecal Globin by Immunochemistry (InSure)
FEP
Ferritin
Fetal Fibronectin
Fibrin-Stabilizing Factor
Fibrinogen
Fifth Disease
FISH
"Flu A, Flu B and RSV by PCR"
Fluid Culture
Fluid Culture (using Blood Culture Bottles)
Fluorescence In Situ Hybridization (FISH)
Folate
"Folate, RBC"
Folic Acid
Foreign Material Culture
Fragile X
"Francisella tularensis Antibody, IgM and IgG, ELISA, Serum"
Free T3
Free T4
Fructosamine
FSH (Follicle Stimulating Hormone)
FSH/LH Evaluation (Follicle Stimulating Hormone/Luteinizing Hormone)
Fungal Blood Culture
Fungitell (1-3)-B-D-Glucan Assay
Fungus Culture
Fungus Culture And Smear
Fungus Smear Only
G-6-PD
Gabapentin
GAD Antibody
Gamma Glutamyltransferase
Gamma GT
"Gastric Parietal Cell Antibody, IgG"
Gastrin
GC (Gonococcus) Culture
GC (Gonococcus) Nucleic Acid Amplified Test (NAAT)
GC (Gonococcus)/Chlamydia Amplified Test (NAAT)
GC (Gonococcus)/Chlamydia/Trichomonas Nucleic Acid Amplified Test (NAAT)
"Genital Culture, Miscellaneous"
Genital Mycoplasma Culture
"Gentamicin, Peak"
"Gentamicin, Random"
"Gentamicin, Trough"
Gestational Glucose
"Giardia Antigen, EIA, Stool"
"Gliadin Peptide Antibodies, IgG and IgA"
Glomerular Basement Membrane Antibody (IgG)
Glomerular Filtration Rate (GFR)
Glucagon
Glucose
Glucose Challenge Test
"Glucose Tolerance, 2 hour"
"Glucose Tolerance, 3 hour"
"Glucose, 1 hour post-prandial"
"Glucose, 2 hour post-prandial"
"Glucose, CSF"
"Glucose, Fluid"
"Glucose, Synovial Fluid"
"Glucose-6-Phosphate Dehydrogenase, Quantitative"
Glutamic Acid Decarboxylase-65 Antibody
Glycated Hemoglobin
Glycosylated Hemoglobin
Gram Stain Only
Group A Strep Antigen
Group A Strep Culture
Group A Strep Direct
Group A Strep DNA
Group B Strep Screen
Group B Strep with sensitivity (penicillin allergy)
Growth Hormone
"Haemophilus influenzae b Antibody, IgG"
Haemophilus influenzae Type B Antibody (IgG)
Haldol®
Haloperidol
Haptoglobin
"hCG (human chorionic gonadotropin), Qualitative, Serum"
"hCG (human chorionic gonadotropin), Quantitative Pregnancy"
"hCG (human chorionic gonadotropin), Urine"
"hCG, Total, Quantitative"
HDL Cholesterol
"HE4, Ovarian Cancer Monitoring"
Heavy Metals Panel (Venous)
Helicobacter pylori Stool Antigen Test
Hematocrit
"Hematocrit, Fluid"
Hemoglobin
Hemoglobin A1c
Hemoglobin and Hematocrit
Hemoglobin Evaluation
Hemoglobin Screening Assay
"Hemoglobin, Free, Plasma"
"Hemoglobin, Plasma"
Hemoglobinopathy Evaluation
Heparin Associated Antiplatelet Antibody (Heparin-Induced Thrombocytopenia)
"Heparin, Unfractionated"
Heparin-Induced Thrombocytopenia Antibodies (Heparin Associated Anti-Platelet Antibody)
Hepatic Function Panel
Hepatitis A Antibody (Total)
Hepatitis A Antibody Panel
"Hepatitis A Antibody,  IgM"
Hepatitis B Core Antibody (Total)
"Hepatitis B Core Antibody, IgM"
"Hepatitis B Surface Antibody, Quantitative"
